** Conflict ** , thinking about stall or another move
** Conflict ** , thinking about stall or another move
Printing final path
Player 1 going at posisition at<69,49> at step 243
Player 2 going at posisition at<78,37> at step 243
Player 1 going at posisition at<69,48> at step 244
Player 2 going at posisition at<78,38> at step 244
Player 1 going at posisition at<69,47> at step 245
Player 2 going at posisition at<78,39> at step 245
Player 1 going at posisition at<69,46> at step 246
Player 2 going at posisition at<78,40> at step 246
Player 1 going at posisition at<69,45> at step 247
Player 2 going at posisition at<78,41> at step 247
Player 1 going at posisition at<69,44> at step 248
Player 2 going at posisition at<78,42> at step 248
Player 1 going at posisition at<69,43> at step 249
Player 2 going at posisition at<78,43> at step 249
Player 1 going at posisition at<69,42> at step 250
Player 2 going at posisition at<77,43> at step 250
Player 1 going at posisition at<69,41> at step 251
Player 2 going at posisition at<77,44> at step 251
Player 1 going at posisition at<70,41> at step 252
Player 2 going at posisition at<77,45> at step 252
Player 1 going at posisition at<71,41> at step 253
Player 2 going at posisition at<76,45> at step 253
Player 1 going at posisition at<71,40> at step 254
Player 2 going at posisition at<76,46> at step 254
Player 1 going at posisition at<71,39> at step 255
Player 2 going at posisition at<75,46> at step 255
Player 1 going at posisition at<71,38> at step 256
Player 2 going at posisition at<74,46> at step 256
Player 1 going at posisition at<71,37> at step 257
Player 2 going at posisition at<73,46> at step 257
Player 1 going at posisition at<71,36> at step 258
Player 2 going at posisition at<72,46> at step 258
Player 1 going at posisition at<71,35> at step 259
Player 2 going at posisition at<71,46> at step 259
Player 1 going at posisition at<71,34> at step 260
Player 2 going at posisition at<70,46> at step 260
Player 1 going at posisition at<71,33> at step 261
Player 2 going at posisition at<69,46> at step 261
Player 1 going at posisition at<72,33> at step 262
Player 2 going at posisition at<68,46> at step 262
Player 1 going at posisition at<72,32> at step 263
Player 2 going at posisition at<67,46> at step 263
Player 1 going at posisition at<73,32> at step 264
Player 2 going at posisition at<66,46> at step 264
Player 1 going at posisition at<74,32> at step 265
Player 2 going at posisition at<65,46> at step 265
Player 1 going at posisition at<75,32> at step 266
Player 2 going at posisition at<64,46> at step 266
Player 1 going at posisition at<75,31> at step 267
Player 2 going at posisition at<63,46> at step 267
Player 1 going at posisition at<76,31> at step 268
Player 2 going at posisition at<62,46> at step 268
Player 1 going at posisition at<77,31> at step 269
Player 2 going at posisition at<61,46> at step 269
Player 1 going at posisition at<78,31> at step 270
Player 2 going at posisition at<60,46> at step 270
Player 1 going at posisition at<78,31> at step 271
Player 2 going at posisition at<59,46> at step 271
Player 1 going at posisition at<78,32> at step 272
Player 2 going at posisition at<58,46> at step 272
Player 1 going at posisition at<78,33> at step 273
Player 2 going at posisition at<57,46> at step 273
Player 1 going at posisition at<78,34> at step 274
Player 2 going at posisition at<56,46> at step 274
Player 1 going at posisition at<78,35> at step 275
Player 2 going at posisition at<55,46> at step 275
Player 1 going at posisition at<78,36> at step 276
Player 2 going at posisition at<54,46> at step 276
Player 1 going at posisition at<78,37> at step 277
Player 2 going at posisition at<53,46> at step 277
Player 1 going at posisition at<78,38> at step 278
Player 2 going at posisition at<52,46> at step 278
